run_dir,target_transform,text_field,freeze_text_model,best_epoch,validation_fve,validation_mse,validation_rmse,validation_cosine_mean,validation_train_mean_baseline_fve,validation_train_mean_baseline_mse,beats_validation_train_mean_baseline
outputs/checkpoints/ar/pilot_100_qwen25_coder_15b_l19_ctx512_refdesc_distilbert_center,center,reference_description,True,8,-0.2722259759902954,0.017328258603811264,0.13163684364117542,0.9948982000350952,-0.05990791320800781,0.014436401426792145,False
outputs/checkpoints/ar/pilot_100_qwen25_coder_15b_l19_ctx512_refdesc_distilbert_standardize,standardize,reference_description,True,13,0.05682814121246338,0.012846406549215317,0.11334198934735228,0.9962214231491089,-0.05990791320800781,0.014436401426792145,True
outputs/checkpoints/ar/pilot_100_qwen25_coder_15b_l19_ctx512_code_distilbert_center,center,code,True,8,-0.032408952713012695,0.014061852047840754,0.11858268021865906,0.9959051012992859,-0.05990791320800781,0.014436401426792145,True
outputs/checkpoints/ar/pilot_100_qwen25_coder_15b_l19_ctx512_refdesc_distilbert_center_unfrozen,center,reference_description,False,10,-0.09981966018676758,0.014980015655358633,0.12239287420172235,0.995555579662323,-0.05990791320800781,0.014436401426792145,False
