epoch,train_mse_loss,target_transform,validation_fve,validation_mse,validation_rmse,validation_mean_l2_error,validation_cosine_mean,validation_cosine_std,validation_cosine_min,validation_cosine_max,validation_prediction_norm_mean,validation_target_norm_mean,validation_original_norm_mean,transformed_validation_mse,validation_train_mean_baseline_fve,validation_train_mean_baseline_mse,is_best
1,0.052049103379249576,center,-0.9244345426559448,0.026211626827716827,0.1619000519694692,6.322515964508057,0.9921373128890991,0.0013471586862578988,0.9893829822540283,0.9941954612731934,50.205074310302734,4.623180389404297,50.623348236083984,0.02621162310242653,-0.05990791320800781,0.014436401426792145,True
2,0.0405842587351799,center,-0.4801347255706787,0.020160071551799774,0.14198616676211726,5.540031909942627,0.9939765930175781,0.0011465157149359584,0.9916951656341553,0.9961317181587219,50.18280029296875,4.623180389404297,50.623348236083984,0.020160069689154625,-0.05990791320800781,0.014436401426792145,True
3,0.03489488400518894,center,-0.427639365196228,0.019445061683654785,0.13944555096400454,5.436205863952637,0.9942117929458618,0.0012286864221096039,0.9911977648735046,0.996621310710907,50.09111022949219,4.623180389404297,50.623348236083984,0.019445061683654785,-0.05990791320800781,0.014436401426792145,True
4,0.031240366399288177,center,-0.3205784559249878,0.01798684646685918,0.13411504936754556,5.219962120056152,0.9946466684341431,0.0012774294009432197,0.9917721748352051,0.9970804452896118,50.364402770996094,4.623180389404297,50.623348236083984,0.01798684522509575,-0.05990791320800781,0.014436401426792145,True
5,0.029302923008799553,center,-0.3518993854522705,0.018413450568914413,0.13569617005985987,5.288787841796875,0.9945940971374512,0.0011853805044665933,0.9915881752967834,0.9967940449714661,49.73326873779297,4.623180389404297,50.623348236083984,0.018413450568914413,-0.05990791320800781,0.014436401426792145,False
6,0.026526895724236964,center,-0.2914896011352539,0.017590641975402832,0.1326297175424981,5.164849758148193,0.994798481464386,0.0012049898505210876,0.9918460249900818,0.9972288608551025,50.14539337158203,4.623180389404297,50.623348236083984,0.017590641975402832,-0.05990791320800781,0.014436401426792145,True
7,0.02491461057215929,center,-0.3015056848526001,0.017727064589659374,0.13314302306038936,5.1850175857543945,0.9947681427001953,0.001211123657412827,0.9920585751533508,0.9971176385879517,50.12590408325195,4.623180389404297,50.623348236083984,0.017727065831422806,-0.05990791320800781,0.014436401426792145,False
8,0.023428394086658956,center,-0.2722259759902954,0.017328258603811264,0.13163684364117542,5.1264777183532715,0.9948982000350952,0.0011796883773058653,0.9920257925987244,0.9972306489944458,50.02824401855469,4.623180389404297,50.623348236083984,0.017328262329101562,-0.05990791320800781,0.014436401426792145,True
9,0.021951254829764365,center,-0.30557048320770264,0.017782429854075115,0.13335077747833013,5.191632270812988,0.9947577714920044,0.001212296076118946,0.9923080801963806,0.9972144365310669,50.10561752319336,4.623180389404297,50.623348236083984,0.017782429233193398,-0.05990791320800781,0.014436401426792145,False
10,0.020886803790926934,center,-0.28432607650756836,0.017493071655432384,0.13226137627982096,5.144546031951904,0.9948667287826538,0.0012673273449763656,0.9920334219932556,0.9974293112754822,49.97010040283203,4.623180389404297,50.623348236083984,0.017493071034550667,-0.05990791320800781,0.014436401426792145,False
