epoch,train_mse_loss,target_transform,validation_fve,validation_mse,validation_rmse,validation_mean_l2_error,validation_cosine_mean,validation_cosine_std,validation_cosine_min,validation_cosine_max,validation_prediction_norm_mean,validation_target_norm_mean,validation_original_norm_mean,transformed_validation_mse,validation_train_mean_baseline_fve,validation_train_mean_baseline_mse,is_best
1,1.0263866424560546,standardize,-0.040610432624816895,0.0141735610862573,0.11905276597482857,4.598507881164551,0.9958101511001587,0.0015045509207993746,0.9917575120925903,0.9977836608886719,49.92862319946289,28.513427734375,50.623348236083984,0.5362941026687622,-0.05990791320800781,0.014436401426792145,True
2,0.9572852969169616,standardize,-0.01594686508178711,0.013837631791830063,0.11763346374153089,4.547543525695801,0.9958924055099487,0.0014215729897841811,0.9921329021453857,0.9978084564208984,50.03966522216797,28.513427734375,50.623348236083984,0.5307950377464294,-0.05990791320800781,0.014436401426792145,True
3,0.9127304196357727,standardize,0.00881260633468628,0.013500394920508066,0.11619119984107258,4.494419097900391,0.9960016012191772,0.0013496930478140712,0.992986798286438,0.9977917075157166,50.01342010498047,28.513427734375,50.623348236083984,0.519390344619751,-0.05990791320800781,0.014436401426792145,True
4,0.8767830491065979,standardize,0.040716588497161865,0.01306585098306338,0.114305953401664,4.423423767089844,0.9961147308349609,0.0012798431562259793,0.993294894695282,0.997779130935669,50.19906997680664,28.513427734375,50.623348236083984,0.50468510389328,-0.05990791320800781,0.014436401426792145,True
5,0.8498907446861267,standardize,0.03238910436630249,0.01317927489678065,0.1148010230650435,4.44732666015625,0.9961313009262085,0.001242229831404984,0.9932317137718201,0.9977555871009827,49.88161087036133,28.513427734375,50.623348236083984,0.5013439059257507,-0.05990791320800781,0.014436401426792145,False
6,0.8204739451408386,standardize,0.02879941463470459,0.01322816809018453,0.11501377348032943,4.458761692047119,0.9961367845535278,0.001210522372275591,0.9931605458259583,0.9977927803993225,49.80957794189453,28.513427734375,50.623348236083984,0.499472051858902,-0.05990791320800781,0.014436401426792145,False
7,0.7962794065475464,standardize,0.04185140132904053,0.01305039475361506,0.11423832436452777,4.430171012878418,0.9961692094802856,0.0011836367193609476,0.9932392239570618,0.9977952241897583,49.94017028808594,28.513427734375,50.623348236083984,0.498772531747818,-0.05990791320800781,0.014436401426792145,True
8,0.7760522961616516,standardize,0.05549532175064087,0.012864557405312857,0.11342203227465489,4.396988868713379,0.9962058067321777,0.001182671170681715,0.9931878447532654,0.9978026151657104,50.09166717529297,28.513427734375,50.623348236083984,0.4950035810470581,-0.05990791320800781,0.014436401426792145,True
9,0.7551223933696747,standardize,0.05342954397201538,0.012892695764700571,0.11354600726005548,4.404928684234619,0.9962035417556763,0.001149059273302555,0.9932619333267212,0.9977626204490662,50.0607795715332,28.513427734375,50.623348236083984,0.49525195360183716,-0.05990791320800781,0.014436401426792145,False
10,0.7371640801429749,standardize,0.04182696342468262,0.013050727546215057,0.11423978092685165,4.432735919952393,0.9961868524551392,0.0011522759450599551,0.9931831359863281,0.9977005124092102,49.88426971435547,28.513427734375,50.623348236083984,0.4951583743095398,-0.05990791320800781,0.014436401426792145,False
11,0.7240683257579803,standardize,0.02483201026916504,0.013282207151254019,0.11524845834653936,4.473017692565918,0.9961395263671875,0.0011582240695133805,0.993035078048706,0.9976509213447571,49.79298782348633,28.513427734375,50.623348236083984,0.49993523955345154,-0.05990791320800781,0.014436401426792145,False
12,0.7070598185062409,standardize,0.055366694927215576,0.012866310775279999,0.11342976141771612,4.402600288391113,0.996216893196106,0.0011167129268869758,0.9933772087097168,0.9977536797523499,50.08106231689453,28.513427734375,50.623348236083984,0.4930029511451721,-0.05990791320800781,0.014436401426792145,False
13,0.6904158592224121,standardize,0.05682814121246338,0.012846406549215317,0.11334198934735228,4.398260593414307,0.9962214231491089,0.0011231839889660478,0.9933684468269348,0.9977715015411377,50.11160659790039,28.513427734375,50.623348236083984,0.49269506335258484,-0.05990791320800781,0.014436401426792145,True
14,0.6746230900287629,standardize,0.04030478000640869,0.013071458786725998,0.11433048056719607,4.436490535736084,0.9961665868759155,0.0011542006395757198,0.9930865168571472,0.9976961612701416,50.01153564453125,28.513427734375,50.623348236083984,0.49920853972435,-0.05990791320800781,0.014436401426792145,False
15,0.6619535028934479,standardize,0.02678769826889038,0.013255567600329718,0.11513282590264914,4.469069004058838,0.9961333274841309,0.0011522405548021197,0.9929853677749634,0.9976578950881958,49.896461486816406,28.513427734375,50.623348236083984,0.5013267397880554,-0.05990791320800781,0.014436401426792145,False
16,0.6494183599948883,standardize,0.029652297496795654,0.013216551393270493,0.11496326105878561,4.463376522064209,0.9961401224136353,0.001134590245783329,0.9930614233016968,0.9976761341094971,49.9501953125,28.513427734375,50.623348236083984,0.5012622475624084,-0.05990791320800781,0.014436401426792145,False
17,0.6383398473262787,standardize,0.023318886756896973,0.01330281545718511,0.11533783185574935,4.479868412017822,0.9961204528808594,0.0011118206894025207,0.9931414723396301,0.9976903796195984,49.949134826660156,28.513427734375,50.623348236083984,0.5023601651191711,-0.05990791320800781,0.014436401426792145,False
18,0.6275399625301361,standardize,0.03476041555404663,0.01314697414636612,0.11466025530394619,4.447001934051514,0.9961398839950562,0.0011701673502102494,0.9931207895278931,0.9978330135345459,50.18830108642578,28.513427734375,50.623348236083984,0.500912606716156,-0.05990791320800781,0.014436401426792145,False
19,0.6137570202350616,standardize,0.028864741325378418,0.013227277745803198,0.11500990281624969,4.465451717376709,0.9961229562759399,0.0011140226852148771,0.9934284090995789,0.9977118372917175,50.135414123535156,28.513427734375,50.623348236083984,0.503109872341156,-0.05990791320800781,0.014436401426792145,False
