epoch,train_mse_loss,target_transform,validation_fve,validation_mse,validation_rmse,validation_mean_l2_error,validation_cosine_mean,validation_cosine_std,validation_cosine_min,validation_cosine_max,validation_prediction_norm_mean,validation_target_norm_mean,validation_original_norm_mean,transformed_validation_mse,validation_train_mean_baseline_fve,validation_train_mean_baseline_mse,is_best
1,0.053499304316937925,center,-0.8986384868621826,0.025860267380873363,0.16081127877382656,6.266678810119629,0.9922474026679993,0.0017074478091672063,0.9879516363143921,0.994666576385498,50.12240982055664,4.623180389404297,50.623348236083984,0.025860266759991646,-0.05990791320800781,0.014436401426792145,True
2,0.04564430471509695,center,-0.6444385051727295,0.02239796022574107,0.14965948090829753,5.821503639221191,0.9932956695556641,0.001708337222225964,0.9888068437576294,0.9956085085868835,50.1149787902832,4.623180389404297,50.623348236083984,0.022397957742214203,-0.05990791320800781,0.014436401426792145,True
3,0.04272726625204086,center,-0.4857218265533447,0.020236168056726456,0.14225388591081248,5.526622772216797,0.9939514994621277,0.0016672502970322967,0.9895786046981812,0.9961743354797363,50.08647918701172,4.623180389404297,50.623348236083984,0.020236168056726456,-0.05990791320800781,0.014436401426792145,True
4,0.040627056173980235,center,-0.3642491102218628,0.018581654876470566,0.13631454389195075,5.290212154388428,0.9944503903388977,0.0016200378304347396,0.9901629686355591,0.9967003464698792,50.101463317871094,4.623180389404297,50.623348236083984,0.018581656739115715,-0.05990791320800781,0.014436401426792145,True
5,0.03909309506416321,center,-0.28375494480133057,0.017485293249289196,0.1322319675770167,5.128249168395996,0.9947913885116577,0.0015718573704361916,0.9907088279724121,0.9970675706863403,50.01251983642578,4.623180389404297,50.623348236083984,0.01748529262840748,-0.05990791320800781,0.014436401426792145,True
6,0.037815204448997976,center,-0.22024965286254883,0.016620320578416187,0.1289198222866297,4.996848106384277,0.9950569272041321,0.0015310541493818164,0.9911602139472961,0.9973320364952087,49.98587417602539,4.623180389404297,50.623348236083984,0.016620319336652756,-0.05990791320800781,0.014436401426792145,True
7,0.03669821433722973,center,-0.1743757724761963,0.015995501230160396,0.1264733222073351,4.900249481201172,0.9952457547187805,0.001495638396590948,0.9914388060569763,0.9974784851074219,49.990089416503906,4.623180389404297,50.623348236083984,0.01599550060927868,-0.05990791320800781,0.014436401426792145,True
8,0.035791768506169316,center,-0.14301252365112305,0.015568318466345469,0.12477306787262013,4.834918022155762,0.9953745007514954,0.0014439549995586276,0.991802453994751,0.9975748658180237,49.995277404785156,4.623180389404297,50.623348236083984,0.015568319708108902,-0.05990791320800781,0.014436401426792145,True
9,0.03471996989101171,center,-0.12799012660980225,0.015363708138465881,0.12395042613265145,4.805052757263184,0.995441734790802,0.0013915776507928967,0.9919673204421997,0.9976349472999573,49.971092224121094,4.623180389404297,50.623348236083984,0.015363707207143307,-0.05990791320800781,0.014436401426792145,True
10,0.03345150845125318,center,-0.09981966018676758,0.014980015655358633,0.12239287420172235,4.743989944458008,0.995555579662323,0.0013727847253903747,0.9920911192893982,0.9976812601089478,49.987823486328125,4.623180389404297,50.623348236083984,0.014980015344917774,-0.05990791320800781,0.014436401426792145,True
