experiment_id,date,status,stage,model_name,model_size,layer_index,token_position,dataset,split,num_examples,activation_dim,method,baseline,train_steps,batch_size,learning_rate,seed,primary_metric,primary_metric_value,notes,artifact_path
exp_000,YYYY-MM-DD,planned,scaffold,Qwen/Qwen2.5-Coder-0.5B-Instruct,0.5B,16,final_non_padding,pilot,smoke,0,,feasibility_probe,,0,,,42,FVE,,Initial placeholder experiment,outputs/
exp_001,2026-06-05,success,phase_01_feasibility_probe,Qwen/Qwen2.5-Coder-0.5B-Instruct,0.5B,16,final_non_padding,sample_prompt,smoke,1,896,hidden_state_probe,none,0,,,42,success,1.0,"Loaded model; extracted final-token activation; inputs_embeds check passed; peak allocated VRAM about 0.97 GB",docs/phase_results/phase_01_feasibility_probe.md
exp_002,2026-06-05,success,phase_01_feasibility_probe,Qwen/Qwen2.5-Coder-1.5B-Instruct,1.5B,19,final_non_padding,sample_prompt,smoke,1,1536,hidden_state_probe,none,0,,,42,success,1.0,"Loaded model; extracted final-token activation; inputs_embeds check passed; peak allocated VRAM about 2.93 GB",docs/phase_results/phase_01_feasibility_probe.md
