epoch,train_mse,validation_fve,validation_mse,validation_rmse,validation_cosine_mean,validation_mean_baseline_fve,validation_zero_baseline_fve,validation_shuffled_baseline_fve,is_best
1,0.7768211419135332,0.4903830885887146,0.13270065188407898,0.3642810067572546,0.9440991878509521,0.0,-5.345505714416504,-1.1051552295684814,True
2,0.7380340315699577,0.4111054539680481,0.15334397554397583,0.3915915927902128,0.9345684051513672,0.0,-5.345505714416504,-1.1051552295684814,False
3,0.7226737101823092,0.49406176805496216,0.13174275557200113,0.3629638488499938,0.944691002368927,0.0,-5.345505714416504,-1.1051552295684814,True
