epoch,policy_loss,sft_loss,entropy,reward_mean,reward_std,normalized_mse_mean,raw_mse_mean,generated_text_mean_length,validation_nla_fve,validation_normalized_mse,validation_reward_mean,is_best
1,-1.48648274368175,2.324716960668564,1.42196817946285,-6.09327272119117e-05,0.00017324094046032457,6.09327272119117e-05,0.1235417360752821,15.2494,0.3146142363548279,8.288773824460804e-05,-8.288773824460804e-05,True
2,-1.9537009732109594,1.8026959135055542,1.0903969431117178,-5.394161325893947e-05,0.00015955713376599262,5.394161325893947e-05,0.10233649859130382,12.0096,0.45739251375198364,6.84080587234348e-05,-6.84080587234348e-05,True
3,-2.1831343781724106,1.8823149408340454,1.2861158827602863,-6.0484859153075376e-05,0.00016554889899759922,6.0484859153075376e-05,0.11843518539220095,13.2304,0.41451555490493774,7.320530130527914e-05,-7.320530130527914e-05,False
